token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
1,INF209K01BT5,Growth,Aditya Birla SL Equity Hybrid '95 Fund (G),Regular,BAG,1562.62,0.00,0.00,100.00,ANNUAL,14th November 2025
2,INF209K01BS7,Dividend - Payout,Aditya Birla SL Equity Hybrid '95 Fund (IDCW),Regular,BA-DP,180.64,0.00,0.00,100.00,INTERIM,14th November 2025
2,INF209K01BS7,Dividend - Reinvest,Aditya Birla SL Equity Hybrid '95 Fund (IDCW),Regular,BSA-DR,180.64,0.00,0.00,100.00,INTERIM,14th November 2025
2,INF209K01EE1,Dividend - Reinvest,Aditya Birla SL Equity Hybrid '95 Fund (IDCW),Regular,BA-DR,180.64,0.00,0.00,100.00,INTERIM,14th November 2025
7,INF209K01090,Dividend - Payout,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,02-DP,203.7,0.00,0.00,500.00,INTERIM,14th November 2025
7,INF209K01CB1,Dividend - Reinvest,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,BSL02D-DR,203.7,0.00,0.00,500.00,INTERIM,14th November 2025
8,INF209K01LQ0,Growth,Aditya Birla SL Low Duration Fund (G),Regular,BSL43N-GR,672.7231,0.00,0.00,100.00,null,14th November 2025
9,INF209K01AJ8,Growth,Aditya Birla SL Flexi Cap Fund (G),Regular,51,1869.79,0.00,0.00,100.00,null,14th November 2025
10,INF209K01AQ3,Dividend - Payout,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,52-DP,171.45,0.00,0.00,100.00,HALF YEARLY,14th November 2025
10,INF209K01AQ3,Dividend - Reinvest,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,BS52-DR,171.45,0.00,0.00,100.00,HALF YEARLY,14th November 2025
10,INF209K01DT1,Dividend - Reinvest,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,BSL52D-DR,171.45,0.00,0.00,100.00,HALF YEARLY,14th November 2025
15,INF209K01785,Growth,Aditya Birla SL Corporate Bond Fund (G),Regular,B32,115.5914,0.00,0.00,100.00,null,14th November 2025
19,INF209K01140,Growth,Aditya Birla SL Digital India Fund (G),Regular,B16,173.26,0.00,0.00,1000.00,null,14th November 2025
20,INF209K01132,Dividend - Payout,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DP,42.99,0.00,0.00,1000.00,ANNUAL,14th November 2025
20,INF209K01132,Dividend - Reinvest,Aditya Birla SL Digital India Fund (IDCW),Regular,BS15-DR,42.99,0.00,0.00,1000.00,ANNUAL,14th November 2025
20,INF209K01CD7,Dividend - Reinvest,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DR,42.99,0.00,0.00,1000.00,ANNUAL,14th November 2025
23,INF209K01ME4,Growth,Aditya Birla SL Liquid Fund - Retail (G),Regular,BSL501G-GR,697.4658,0.00,0.00,10000.00,null,14th November 2025
